GROUP,INFORMANT,TREATMENT,CONTEXT,TIMEPOINT,CONSECUTIVE,TRIAL,ORIENT,MOVE,SOCIAL,TOTAL,SURV70
dom1,dom,social,group,six,two,4,3,3,5,8,1
dom2,dom,social,group,six,two,6,1,1,6,7,0
dom3,dom,social,group,six,two,6,1,1,3,4,0
dom4,dom,social,group,six,two,6,3,3,2,5,0
dom10,dom,social,group,fourteen,two,7,2,3,2,5,1
dom11,dom,social,group,fourteen,two,7,5,4,2,6,1
dom13,dom,social,group,fourteen,two,10,4,2,3,5,1
dom5,dom,social,group,twentytwo,two,22,2,1,0,1,0
dom7,dom,social,group,twentytwo,two,7,2,2,4,6,1
dom8,dom,social,group,twentytwo,two,22,5,3,2,5,1
dom9,dom,social,group,twentytwo,two,10,5,3,3,6,1
sub1,sub,social,group,six,two,6,5,0,0,0,0
sub2,sub,social,group,six,two,6,3,1,2,3,0
sub3,sub,social,group,six,two,6,6,2,2,4,0
sub4,sub,social,group,six,two,6,5,1,3,4,0
sub9,sub,social,group,fourteen,two,6,6,3,3,6,1
sub10,sub,social,group,fourteen,two,7,7,3,2,5,1
sub11,sub,social,group,fourteen,two,10,5,2,4,6,1
sub5,sub,social,group,twentytwo,two,22,2,1,1,2,0
sub6,sub,social,group,twentytwo,two,5,4,3,2,5,1
sub8,sub,social,group,twentytwo,two,20,3,4,2,6,1
sub12,sub,social,group,twentytwo,two,19,3,2,3,5,1
naive1,naive,allnaive,group,twentytwo,two,16,6,6,2,8,1
naive2,naive,allnaive,group,twentytwo,two,18,8,8,0,8,1
naive3,naive,allnaive,group,twentytwo,two,17,4,4,3,7,1
naive4,naive,allnaive,group,twentytwo,two,16,4,4,2,6,1
naive6,naive,allnaive,group,twentytwo,two,16,8,5,3,8,1
male1,male,individual,alone,six,two,6,0,0,NA,0,0
male2,male,individual,alone,six,two,6,0,0,NA,0,0
male3,male,individual,alone,six,two,6,0,0,NA,0,0
male4,male,individual,alone,six,two,6,0,0,NA,0,0
male5,male,individual,alone,six,two,6,0,0,NA,0,0
male6,male,individual,alone,six,two,6,0,0,NA,0,0
male7,male,individual,alone,fourteen,two,14,0,0,NA,0,0
male8,male,individual,alone,fourteen,two,14,0,0,NA,0,0
male9,male,individual,alone,fourteen,two,14,0,0,NA,0,0
male10,male,individual,alone,fourteen,two,14,0,0,NA,0,0
male11,male,individual,alone,twentytwo,two,14,1,1,NA,1,1
male12,male,individual,alone,twentytwo,two,14,1,1,NA,1,1
male13,male,individual,alone,twentytwo,two,22,0,0,NA,0,0
male14,male,individual,alone,twentytwo,two,22,0,0,NA,0,0
female1,female,individual,alone,six,two,6,0,0,NA,0,0
female2,female,individual,alone,six,two,6,0,0,NA,0,0
female3,female,individual,alone,six,two,6,0,0,NA,0,0
female4,female,individual,alone,six,two,6,1,0,NA,0,0
female5,female,individual,alone,six,two,6,1,1,NA,1,1
female6,female,individual,alone,six,two,6,0,0,NA,0,0
female7,female,individual,alone,fourteen,two,14,1,1,NA,1,0
female8,female,individual,alone,fourteen,two,14,0,0,NA,0,0
female9,female,individual,alone,fourteen,two,9,1,1,NA,1,1
female10,female,individual,alone,fourteen,two,14,0,0,NA,0,0
female11,female,individual,alone,fourteen,two,14,1,0,NA,0,0
female12,female,individual,alone,fourteen,two,14,0,0,NA,0,0
female13,female,individual,alone,twentytwo,two,22,0,0,NA,0,0
female14,female,individual,alone,twentytwo,two,21,1,1,NA,1,1
